name,type,latitude,longitude
Randaberg,Kommune,59.011879607262088,5.558420731376838
Ørsta,Kommune,62.236667588732765,6.331445538140756
Nærøysund,Kommune,64.907623751370409,10.949796885861023
Kinn,Kommune,61.603155203024322,4.869225447676082
Stad,Kommune,62.203704932151560,5.029010141272167
Notodden,Kommune,59.652869856274300,9.152230649216808
Måsøy,Kommune,71.001095872146308,24.459790844815089
Tvedestrand,Kommune,58.577836019264566,9.147159680806871
Flatanger,Kommune,64.521986681778330,10.591045189962172
Osen,Kommune,64.441820239051253,10.097867887624162
Båtsfjord,Kommune,70.599412453070101,30.188302385478146
Sømna,Kommune,65.275981369152589,12.015226364060402
Aukra,Kommune,62.819744588298867,6.724061595869251
Stjørdal,Kommune,63.466876600167232,11.184925722952388
Vestre Slidre,Kommune,61.032474972883975,8.884234758218332
Fyresdal,Kommune,59.161148896066770,8.055701008434896
Gjøvik,Kommune,60.887828867232066,10.470437232620730
Enebakk,Kommune,59.766581524845208,11.102882230797796
Folldal,Kommune,62.173909985371864,10.019070303360639
Lunner,Kommune,60.244828416524321,10.663384818212812
Hol,Kommune,60.570081815856945,8.011668496469831
Vennesla,Kommune,58.330920812910044,7.829186924207936
Åseral,Kommune,58.699568951064009,7.399919843868132
Etnedal,Kommune,60.974799633780457,9.640176065379968
Rakkestad,Kommune,59.371646229688707,11.416622494263306
Tinn,Kommune,59.997309025317321,8.562515289877691
Sigdal,Kommune,60.067539352888524,9.511218009885225
Tolga,Kommune,62.356977686666205,11.082241023904311
Åmli,Kommune,58.803870072685449,8.339255242660593
Alvdal,Kommune,62.067579476983042,10.507800451244373
Kviteseid,Kommune,59.370236876643474,8.491448233140392
Rendalen,Kommune,61.818372400659129,11.278267413781945
Vinje,Kommune,59.821417906806047,7.728742940794733
Hamar,Kommune,60.950438394433448,11.143049171256868
Østre Toten,Kommune,60.608860701769039,10.890248673154753
Våler,Kommune,60.784659256667958,11.951164585828488
Ringerike,Kommune,60.294478897341889,10.087928435486599
Grimstad,Kommune,58.284567174837427,8.671992097586271
Nordre Follo,Kommune,59.743850049380164,10.873858250461462
Asker,Kommune,59.683190172978279,10.476686113210187
Kristiansand,Kommune,58.062980722847222,7.954644603607125
Voss,Kommune,60.682666135343680,6.471347053420748
Steigen,Kommune,67.814845719440171,14.764956423387849
Karlsøy,Kommune,70.257465014203632,19.413868822257118
Senja,Kommune,69.392158875454868,17.330710457860562
Fedje,Kommune,60.789815167660002,4.474007613127116
Lurøy,Kommune,66.414265505525364,12.661238762275390
Fjaler,Kommune,61.285419622528167,5.368317261469721
Kvam,Kommune,60.371781995161136,6.134570333716988
Stord,Kommune,59.815304633861899,5.482456594328887
Målselv,Kommune,68.808330085274676,19.783761981807512
Gildeskål,Kommune,67.048717499516087,13.923846979204482
Tingvoll,Kommune,62.962568736994214,8.159346156847283
Overhalla,Kommune,64.455757171094490,11.903970309354639
Balsfjord,Kommune,69.262170758038081,19.215927351692006
Saltdal,Kommune,66.891354117783308,15.525566707459800
Hjelmeland,Kommune,59.224190702551283,6.427373858885885
Frøya,Kommune,64.023557633486732,8.791746659988325
Klepp,Kommune,58.743048571308954,5.374501064492670
Hábmer,Kommune,67.965701986685659,16.054061897045742
Rennebu,Kommune,62.844345071801115,9.858865676749542
Inderøy,Kommune,63.872822825020350,11.075439897516201
Sunndal,Kommune,62.594525068251883,8.703219487947607
Oppdal,Kommune,62.541078577751179,9.540349949650297
Hå,Kommune,58.540083767282830,5.550674926975339
Øksnes,Kommune,69.017143767681844,14.897018061933757
Krødsherad,Kommune,60.197952681180048,9.667730033331532
Gáivuotna,Kommune,69.478328868601295,20.742253542351595
Evje og Hornnes,Kommune,58.581057661711512,7.764704909844138
Namsos,Kommune,64.488014177500787,11.396882039691565
Stavanger,Kommune,59.139791592364084,5.785538371545174
