name,latitude,longitude,population,time_Date,gathered_Date,url
Norge,61.1529386,8.7876653,5421,Unknown,2023-04-19 01:55:36.893190,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378993.1.16378993
Armenia,40.7696272,44.6736646,2963,Unknown,2023-04-19 01:55:36.893196,https://www.nrk.no/sport/sportsnyheter-1.14660227#1.16378993.1.16378993
Sudan,14.5844444,29.4917691,43849,23:06-04/18-2023,2023-04-19 01:55:36.893202,https://www.nrk.no/urix/sperret-inne-i-flere-dager_-_-vi-forberedte-oss-pa-a-do-1.16376906
Jemen,16.3471243,47.8915271,29826,23:06-04/18-2023,2023-04-19 01:55:36.893209,https://www.nrk.no/urix/sperret-inne-i-flere-dager_-_-vi-forberedte-oss-pa-a-do-1.16376906
Tunisia,33.8439408,9.400138,11819,23:06-04/18-2023,2023-04-19 01:55:36.893216,https://www.nrk.no/urix/sperret-inne-i-flere-dager_-_-vi-forberedte-oss-pa-a-do-1.16376906
Norge,61.1529386,8.7876653,5421,23:06-04/18-2023,2023-04-19 01:55:36.893222,https://www.nrk.no/urix/sperret-inne-i-flere-dager_-_-vi-forberedte-oss-pa-a-do-1.16376906
Gaza,31.5193148,34.4375701,,23:06-04/18-2023,2023-04-19 01:55:36.893229,https://www.nrk.no/urix/sperret-inne-i-flere-dager_-_-vi-forberedte-oss-pa-a-do-1.16376906
Sudan,14.5844444,29.4917691,43849,18:58-04/18-2023,2023-04-19 01:55:36.893236,https://www.nrk.no/norge/xl/nulltoleransen-1.16326554
Sør-Sudan,7.8699431,29.6667897,11194,18:58-04/18-2023,2023-04-19 01:55:36.893242,https://www.nrk.no/norge/xl/nulltoleransen-1.16326554
Norge,61.1529386,8.7876653,5421,18:58-04/18-2023,2023-04-19 01:55:36.893249,https://www.nrk.no/norge/xl/nulltoleransen-1.16326554
Norge,61.1529386,8.7876653,5421,20:28-04/18-2023,2023-04-19 01:55:36.893256,https://www.nrk.no/nordland/streik_-ble-permittert-fra-jobben-i-vikarbyra-da-streiken-startet-1.16378044
