name,latitude,longitude,type,published,gathered,url
Viken,60.043864112215608,9.972647764726981,Fylke,Unknown,2023-04-19 02:39:04.995487,https://www.nrk.no/distrikt/
Nordland,67.123475111553162,13.908069345866942,Fylke,Unknown,2023-04-19 02:39:04.995491,https://www.nrk.no/distrikt/
Vestland,60.912912622641649,5.969116966557067,Fylke,Unknown,2023-04-19 02:39:04.995496,https://www.nrk.no/distrikt/
Bergen,60.359802393828737,5.370998003415741,Kommune,Unknown,2023-04-19 02:39:04.995500,https://www.nrk.no/distrikt/
Grimstad,58.284567174837427,8.671992097586271,Kommune,Unknown,2023-04-19 02:39:04.995505,https://www.nrk.no/distrikt/
Voss,60.682666135343680,6.471347053420748,Kommune,Unknown,2023-04-19 02:39:04.995510,https://www.nrk.no/distrikt/
Trondheim,63.369738815446532,10.396368817141465,Kommune,Unknown,2023-04-19 02:39:04.995514,https://www.nrk.no/distrikt/
Strand,59.031843321787839,6.023107147512158,Kommune,Unknown,2023-04-19 02:39:04.995520,https://www.nrk.no/distrikt/
Halden,59.086116252306979,11.492144735778032,Kommune,Unknown,2023-04-19 02:39:04.995524,https://www.nrk.no/distrikt/
Larvik,59.055964444613664,10.009825683978752,Kommune,Unknown,2023-04-19 02:39:04.995529,https://www.nrk.no/distrikt/
Agder,58.533697190544508,7.710662305515249,Fylke,Unknown,2023-04-19 02:39:04.995533,https://www.nrk.no/distrikt/
Innlandet,61.439147777644699,10.441060410553726,Fylke,Unknown,2023-04-19 02:39:04.995538,https://www.nrk.no/distrikt/
Møre og Romsdal,62.709912278943143,7.201969939935447,Fylke,Unknown,2023-04-19 02:39:04.995542,https://www.nrk.no/distrikt/
Nordland,67.123475111553162,13.908069345866942,Fylke,Unknown,2023-04-19 02:39:04.995547,https://www.nrk.no/distrikt/
Oslo,59.975392335668623,10.738759025694977,Fylke,Unknown,2023-04-19 02:39:04.995552,https://www.nrk.no/distrikt/
Viken,60.043864112215608,9.972647764726981,Fylke,Unknown,2023-04-19 02:39:04.995556,https://www.nrk.no/distrikt/
Rogaland,59.035166461243975,5.868373444721857,Fylke,Unknown,2023-04-19 02:39:04.995560,https://www.nrk.no/distrikt/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.995565,https://www.nrk.no/distrikt/
Trøndelag,63.911749884246412,10.899119444670195,Fylke,Unknown,2023-04-19 02:39:04.995570,https://www.nrk.no/distrikt/
Vestfold og Telemark,59.417662044070866,8.914348167088367,Fylke,Unknown,2023-04-19 02:39:04.995574,https://www.nrk.no/distrikt/
Vestland,60.912912622641649,5.969116966557067,Fylke,Unknown,2023-04-19 02:39:04.995579,https://www.nrk.no/distrikt/
Agder,58.533697190544508,7.710662305515249,Fylke,Unknown,2023-04-19 02:39:04.995584,https://www.nrk.no/norge/
Oslo,59.975392335668623,10.738759025694977,Fylke,Unknown,2023-04-19 02:39:04.995589,https://www.nrk.no/norge/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.995593,https://www.nrk.no/norge/
Møre og Romsdal,62.709912278943143,7.201969939935447,Fylke,Unknown,2023-04-19 02:39:04.995597,https://www.nrk.no/norge/
Vestfold og Telemark,59.417662044070866,8.914348167088367,Fylke,Unknown,2023-04-19 02:39:04.995602,https://www.nrk.no/norge/
Trøndelag,63.911749884246412,10.899119444670195,Fylke,Unknown,2023-04-19 02:39:04.995607,https://www.nrk.no/norge/
Rogaland,59.035166461243975,5.868373444721857,Fylke,Unknown,2023-04-19 02:39:04.995612,https://www.nrk.no/norge/
Innlandet,61.439147777644699,10.441060410553726,Fylke,Unknown,2023-04-19 02:39:04.995616,https://www.nrk.no/norge/
Viken,60.043864112215608,9.972647764726981,Fylke,Unknown,2023-04-19 02:39:04.995621,https://www.nrk.no/norge/
Nordland,67.123475111553162,13.908069345866942,Fylke,Unknown,2023-04-19 02:39:04.995625,https://www.nrk.no/norge/
Vestland,60.912912622641649,5.969116966557067,Fylke,Unknown,2023-04-19 02:39:04.995629,https://www.nrk.no/norge/
Bergen,60.359802393828737,5.370998003415741,Kommune,Unknown,2023-04-19 02:39:04.995634,https://www.nrk.no/norge/
Grimstad,58.284567174837427,8.671992097586271,Kommune,Unknown,2023-04-19 02:39:04.995638,https://www.nrk.no/norge/
Voss,60.682666135343680,6.471347053420748,Kommune,Unknown,2023-04-19 02:39:04.995643,https://www.nrk.no/norge/
Trondheim,63.369738815446532,10.396368817141465,Kommune,Unknown,2023-04-19 02:39:04.995647,https://www.nrk.no/norge/
Strand,59.031843321787839,6.023107147512158,Kommune,Unknown,2023-04-19 02:39:04.995651,https://www.nrk.no/norge/
Halden,59.086116252306979,11.492144735778032,Kommune,Unknown,2023-04-19 02:39:04.995656,https://www.nrk.no/norge/
Larvik,59.055964444613664,10.009825683978752,Kommune,Unknown,2023-04-19 02:39:04.995660,https://www.nrk.no/norge/
Agder,58.533697190544508,7.710662305515249,Fylke,Unknown,2023-04-19 02:39:04.995665,https://www.nrk.no/norge/
Innlandet,61.439147777644699,10.441060410553726,Fylke,Unknown,2023-04-19 02:39:04.995669,https://www.nrk.no/norge/
Møre og Romsdal,62.709912278943143,7.201969939935447,Fylke,Unknown,2023-04-19 02:39:04.995674,https://www.nrk.no/norge/
Nordland,67.123475111553162,13.908069345866942,Fylke,Unknown,2023-04-19 02:39:04.995678,https://www.nrk.no/norge/
Oslo,59.975392335668623,10.738759025694977,Fylke,Unknown,2023-04-19 02:39:04.995683,https://www.nrk.no/norge/
Viken,60.043864112215608,9.972647764726981,Fylke,Unknown,2023-04-19 02:39:04.995687,https://www.nrk.no/norge/
Rogaland,59.035166461243975,5.868373444721857,Fylke,Unknown,2023-04-19 02:39:04.995691,https://www.nrk.no/norge/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.995696,https://www.nrk.no/norge/
Trøndelag,63.911749884246412,10.899119444670195,Fylke,Unknown,2023-04-19 02:39:04.995700,https://www.nrk.no/norge/
Vestfold og Telemark,59.417662044070866,8.914348167088367,Fylke,Unknown,2023-04-19 02:39:04.995705,https://www.nrk.no/norge/
Vestland,60.912912622641649,5.969116966557067,Fylke,Unknown,2023-04-19 02:39:04.995710,https://www.nrk.no/norge/
Agder,58.533697190544508,7.710662305515249,Fylke,Unknown,2023-04-19 02:39:04.995715,https://www.nrk.no/urix/
Oslo,59.975392335668623,10.738759025694977,Fylke,Unknown,2023-04-19 02:39:04.995719,https://www.nrk.no/urix/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.995723,https://www.nrk.no/urix/
Møre og Romsdal,62.709912278943143,7.201969939935447,Fylke,Unknown,2023-04-19 02:39:04.995728,https://www.nrk.no/urix/
Vestfold og Telemark,59.417662044070866,8.914348167088367,Fylke,Unknown,2023-04-19 02:39:04.995732,https://www.nrk.no/urix/
Trøndelag,63.911749884246412,10.899119444670195,Fylke,Unknown,2023-04-19 02:39:04.995737,https://www.nrk.no/urix/
Rogaland,59.035166461243975,5.868373444721857,Fylke,Unknown,2023-04-19 02:39:04.995742,https://www.nrk.no/urix/
Innlandet,61.439147777644699,10.441060410553726,Fylke,Unknown,2023-04-19 02:39:04.995746,https://www.nrk.no/urix/
Viken,60.043864112215608,9.972647764726981,Fylke,Unknown,2023-04-19 02:39:04.995751,https://www.nrk.no/urix/
Nordland,67.123475111553162,13.908069345866942,Fylke,Unknown,2023-04-19 02:39:04.995755,https://www.nrk.no/urix/
Vestland,60.912912622641649,5.969116966557067,Fylke,Unknown,2023-04-19 02:39:04.995760,https://www.nrk.no/urix/
Agder,58.533697190544508,7.710662305515249,Fylke,Unknown,2023-04-19 02:39:04.995765,https://www.nrk.no/debatten/
Oslo,59.975392335668623,10.738759025694977,Fylke,Unknown,2023-04-19 02:39:04.995769,https://www.nrk.no/debatten/
Troms og Finnmark,69.987686441275571,23.443274091170696,Fylke,Unknown,2023-04-19 02:39:04.995783,https://www.nrk.no/debatten/
Møre og Romsdal,62.709912278943143,7.201969939935447,Fylke,Unknown,2023-04-19 02:39:04.995788,https://www.nrk.no/debatten/
Vestfold og Telemark,59.417662044070866,8.914348167088367,Fylke,Unknown,2023-04-19 02:39:04.995793,https://www.nrk.no/debatten/
Trøndelag,63.911749884246412,10.899119444670195,Fylke,Unknown,2023-04-19 02:39:04.995798,https://www.nrk.no/debatten/
